,state_name,district_name,crop_year,season,crop,area,production,rainfall
53,Kerala,ALAPPUZHA,2003,Whole Year ,Turmeric,8,1931.5,2324
54,Kerala,ALAPPUZHA,2003,Winter     ,Rice,16706,1985.2,2324
55,Kerala,ALAPPUZHA,2004,Autumn     ,Rice,6366,1985.2,2834
56,Kerala,ALAPPUZHA,2004,Kharif     ,Sesamum,176,1985.2,2834
57,Kerala,ALAPPUZHA,2004,Summer     ,Rice,11991,1985.2,2834
58,Kerala,ALAPPUZHA,2004,Whole Year ,Arecanut,2376,1985.2,2834
59,Kerala,ALAPPUZHA,2004,Whole Year ,Banana,564,1985.2,2834
60,Kerala,ALAPPUZHA,2004,Whole Year ,Black pepper,2079,1505,2834
61,Kerala,ALAPPUZHA,2004,Whole Year ,Cashewnut,3749,1505,2834
62,Kerala,ALAPPUZHA,2004,Whole Year ,Coconut ,56325,1518.3,2834
63,Kerala,ALAPPUZHA,2004,Whole Year ,Dry ginger,92,1518.3,2834
64,Kerala,ALAPPUZHA,2004,Whole Year ,Sugarcane,152,1518.3,2834
65,Kerala,ALAPPUZHA,2004,Whole Year ,Sweet potato,8,1518.3,2834
66,Kerala,ALAPPUZHA,2004,Whole Year ,Tapioca,3462,1519.3,2834
67,Kerala,ALAPPUZHA,2004,Whole Year ,Turmeric,11,1520.3,2834
68,Kerala,ALAPPUZHA,2004,Winter     ,Rice,13801,1521.3,2834
69,Kerala,ALAPPUZHA,2005,Autumn     ,Rice,8643,1522.3,2598
70,Kerala,ALAPPUZHA,2005,Kharif     ,Sesamum,62,1523.3,2598
71,Kerala,ALAPPUZHA,2005,Summer     ,Rice,4465,1518.3,2598
72,Kerala,ALAPPUZHA,2005,Whole Year ,Arecanut,2353,1518.3,2598
73,Kerala,ALAPPUZHA,2005,Whole Year ,Banana,578,1518.3,2598
74,Kerala,ALAPPUZHA,2005,Whole Year ,Black pepper,2000,1518.3,2598
75,Kerala,ALAPPUZHA,2005,Whole Year ,Cashewnut,3525,1567,2598
76,Kerala,ALAPPUZHA,2005,Whole Year ,Coconut ,56154,1567,2598
77,Kerala,ALAPPUZHA,2005,Whole Year ,Dry ginger,34,1567,2598
78,Kerala,ALAPPUZHA,2005,Whole Year ,Sugarcane,8,1567,2598
79,Kerala,ALAPPUZHA,2005,Whole Year ,Sweet potato,2,1567,2598
80,Kerala,ALAPPUZHA,2005,Whole Year ,Tapioca,2668,1567,2598
81,Kerala,ALAPPUZHA,2005,Whole Year ,Turmeric,11,1568,2598
82,Kerala,ALAPPUZHA,2005,Winter     ,Rice,15660,1569,2598
83,Kerala,ALAPPUZHA,2006,Autumn     ,Rice,7594,1570,3013
84,Kerala,ALAPPUZHA,2006,Kharif     ,Sesamum,192,1571,3013
85,Kerala,ALAPPUZHA,2006,Summer     ,Rice,9770,1572,3013
86,Kerala,ALAPPUZHA,2006,Whole Year ,Arecanut,2021,1573,3013
87,Kerala,ALAPPUZHA,2006,Whole Year ,Banana,601,1574,3013
88,Kerala,ALAPPUZHA,2006,Whole Year ,Black pepper,1872,1575,3013
89,Kerala,ALAPPUZHA,2006,Whole Year ,Cashewnut,2995,1576,3013
90,Kerala,ALAPPUZHA,2006,Whole Year ,Coconut ,48726,1577,3013
91,Kerala,ALAPPUZHA,2006,Whole Year ,Dry ginger,66,1578,3013
92,Kerala,ALAPPUZHA,2006,Whole Year ,Sugarcane,48,1567,3013
93,Kerala,ALAPPUZHA,2006,Whole Year ,Sweet potato,6,1567,3013
94,Kerala,ALAPPUZHA,2006,Whole Year ,Tapioca,2664,1567,3013
95,Kerala,ALAPPUZHA,2006,Whole Year ,Turmeric,20,1567,3013
96,Kerala,ALAPPUZHA,2006,Winter     ,Rice,13696,1567,3013
97,Kerala,ALAPPUZHA,2007,Autumn     ,Rice,7991,1567,3113.1
98,Kerala,ALAPPUZHA,2007,Kharif     ,Ragi,1,1567,3113.1
99,Kerala,ALAPPUZHA,2007,Kharif     ,Sesamum,61,1567,3113.1
100,Kerala,ALAPPUZHA,2007,Summer     ,Rice,15291,1655.2,3113.1
101,Kerala,ALAPPUZHA,2007,Whole Year ,Arecanut,1696,1655.2,3113.1
102,Kerala,ALAPPUZHA,2007,Whole Year ,Banana,635,1655.2,3113.1
103,Kerala,ALAPPUZHA,2007,Whole Year ,Black pepper,1790,1655.2,3113.1
104,Kerala,ALAPPUZHA,2007,Whole Year ,Cashewnut,2515,1656.2,3113.1
105,Kerala,ALAPPUZHA,2007,Whole Year ,Coconut ,43976,1657.2,3113.1
106,Kerala,ALAPPUZHA,2007,Whole Year ,Dry ginger,94,1658.2,3113.1
107,Kerala,ALAPPUZHA,2007,Whole Year ,Sugarcane,25,1659.2,3113.1
108,Kerala,ALAPPUZHA,2007,Whole Year ,Sweet potato,6,1660.2,3113.1
109,Kerala,ALAPPUZHA,2007,Whole Year ,Tapioca,2516,1661.2,3113.1
110,Kerala,ALAPPUZHA,2007,Whole Year ,Turmeric,28,1662.2,3113.1
111,Kerala,ALAPPUZHA,2007,Winter     ,Rice,10053,1663.2,3113.1
112,Kerala,ALAPPUZHA,2008,Autumn     ,Rice,8755,1664.2,2584.9
113,Kerala,ALAPPUZHA,2008,Kharif     ,Sesamum,93,1665.2,2584.9
114,Kerala,ALAPPUZHA,2008,Summer     ,Rice,18121,1666.2,2584.9
115,Kerala,ALAPPUZHA,2008,Whole Year ,Arecanut,1577,1667.2,2584.9
116,Kerala,ALAPPUZHA,2008,Whole Year ,Banana,563,1668.2,2584.9
117,Kerala,ALAPPUZHA,2008,Whole Year ,Black pepper,1357,1669.2,2584.9
118,Kerala,ALAPPUZHA,2008,Whole Year ,Cashewnut,2150,1670.2,2584.9
119,Kerala,ALAPPUZHA,2008,Whole Year ,Coconut ,38859,1671.2,2584.9
120,Kerala,ALAPPUZHA,2008,Whole Year ,Dry ginger,81,1672.2,2584.9
121,Kerala,ALAPPUZHA,2008,Whole Year ,Sugarcane,60,1673.2,2584.9
122,Kerala,ALAPPUZHA,2008,Whole Year ,Sweet potato,7,1674.2,2584.9
123,Kerala,ALAPPUZHA,2008,Whole Year ,Tapioca,3272,1675.2,2584.9
124,Kerala,ALAPPUZHA,2008,Whole Year ,Turmeric,22,1676.2,2584.9
125,Kerala,ALAPPUZHA,2008,Winter     ,Rice,7267,1677.2,2584.9
126,Kerala,ALAPPUZHA,2009,Autumn     ,Rice,9128,1678.2,2458.3
127,Kerala,ALAPPUZHA,2009,Kharif     ,Sesamum,238,1679.2,2458.3
128,Kerala,ALAPPUZHA,2009,Summer     ,Rice,16820,1680.2,2458.3
129,Kerala,ALAPPUZHA,2009,Whole Year ,Arecanut,1711,1681.2,2458.3
130,Kerala,ALAPPUZHA,2009,Whole Year ,Banana,538,1682.2,2458.3
131,Kerala,ALAPPUZHA,2009,Whole Year ,Black pepper,1387,1683.2,2458.3
132,Kerala,ALAPPUZHA,2009,Whole Year ,Cashewnut,2110,1684.2,2458.3
133,Kerala,ALAPPUZHA,2009,Whole Year ,Coconut ,39816,1685.2,2458.3
134,Kerala,ALAPPUZHA,2009,Whole Year ,Dry ginger,61,1686.2,2458.3
135,Kerala,ALAPPUZHA,2009,Whole Year ,Sugarcane,66,1687.2,2458.3
136,Kerala,ALAPPUZHA,2009,Whole Year ,Sweet potato,4,1688.2,2458.3
137,Kerala,ALAPPUZHA,2009,Whole Year ,Tapioca,2687,1689.2,2458.3
138,Kerala,ALAPPUZHA,2009,Whole Year ,Turmeric,12,1690.2,2458.3
139,Kerala,ALAPPUZHA,2009,Winter     ,Rice,7492,1691.2,2458.3
140,Kerala,ALAPPUZHA,2010,Autumn     ,Rice,10445.22,1692.2,3058.5
141,Kerala,ALAPPUZHA,2010,Kharif     ,Sesamum,43.05,1693.2,3058.5
142,Kerala,ALAPPUZHA,2010,Summer     ,Rice,22744.6,1694.2,3058.5
143,Kerala,ALAPPUZHA,2010,Whole Year ,Arecanut,1608.73,1695.2,3058.5
144,Kerala,ALAPPUZHA,2010,Whole Year ,Banana,660.15,1696.2,3058.5
145,Kerala,ALAPPUZHA,2010,Whole Year ,Black pepper,1506.15,1697.2,3058.5
146,Kerala,ALAPPUZHA,2010,Whole Year ,Cashewnut,2092.85,1698.2,3058.5
147,Kerala,ALAPPUZHA,2010,Whole Year ,Coconut ,39343.71,1699.2,3058.5
148,Kerala,ALAPPUZHA,2010,Whole Year ,Dry ginger,87.46,1700.2,3058.5
149,Kerala,ALAPPUZHA,2010,Whole Year ,Sugarcane,54.25,1701.2,3058.5
150,Kerala,ALAPPUZHA,2010,Whole Year ,Tapioca,2788.49,1702.2,3058.5
151,Kerala,ALAPPUZHA,2010,Whole Year ,Turmeric,22.2,1703.2,3058.5
152,Kerala,ALAPPUZHA,2010,Winter     ,Rice,3869.68,1704.2,3058.5
153,Kerala,ALAPPUZHA,2011,Autumn     ,Rice,9966.03,1705.2,2832.3
154,Kerala,ALAPPUZHA,2011,Kharif     ,Sesamum,13.93,1706.2,2832.3
155,Kerala,ALAPPUZHA,2011,Summer     ,Rice,17169.79,1707.2,2832.3
156,Kerala,ALAPPUZHA,2011,Whole Year ,Arecanut,1615.43,1708.2,2832.3
157,Kerala,ALAPPUZHA,2011,Whole Year ,Banana,454.95,1709.2,2832.3
158,Kerala,ALAPPUZHA,2011,Whole Year ,Black pepper,724.76,1710.2,2832.3
159,Kerala,ALAPPUZHA,2011,Whole Year ,Cashewnut,2559.81,1711.2,2832.3
160,Kerala,ALAPPUZHA,2011,Whole Year ,Coconut ,38555.94,1712.2,2832.3
161,Kerala,ALAPPUZHA,2011,Whole Year ,Dry ginger,93.64,1713.2,2832.3
162,Kerala,ALAPPUZHA,2011,Whole Year ,Potato,7,1714.2,2832.3
163,Kerala,ALAPPUZHA,2011,Whole Year ,Sugarcane,94.93,1715.2,2832.3
164,Kerala,ALAPPUZHA,2011,Whole Year ,Tapioca,2450.86,1716.2,2832.3
165,Kerala,ALAPPUZHA,2011,Whole Year ,Turmeric,20.6,1717.2,2832.3
166,Kerala,ALAPPUZHA,2011,Winter     ,Rice,9115.09,1718.2,2832.3
167,Kerala,ALAPPUZHA,2012,Autumn     ,Rice,10758,1719.2,1845.7
168,Kerala,ALAPPUZHA,2012,Summer     ,Rice,20325,1720.2,1845.7
169,Kerala,ALAPPUZHA,2012,Whole Year ,Arecanut,1387,1721.2,1845.7
170,Kerala,ALAPPUZHA,2012,Whole Year ,Banana,631,1722.2,1845.7
171,Kerala,ALAPPUZHA,2012,Whole Year ,Black pepper,639,1723.2,1845.7
172,Kerala,ALAPPUZHA,2012,Whole Year ,Cashewnut,2110,1724.2,1845.7
173,Kerala,ALAPPUZHA,2012,Whole Year ,Coconut ,36986,1725.2,1845.7
174,Kerala,ALAPPUZHA,2012,Whole Year ,Cowpea(Lobia),2,1726.2,1845.7
175,Kerala,ALAPPUZHA,2012,Whole Year ,Drum Stick,457,1727.2,1845.7
176,Kerala,ALAPPUZHA,2012,Whole Year ,Dry ginger,89,1728.2,1845.7
177,Kerala,ALAPPUZHA,2012,Whole Year ,Jack Fruit,2199,1729.2,1845.7
178,Kerala,ALAPPUZHA,2012,Whole Year ,Mango,3786,1730.2,1845.7
179,Kerala,ALAPPUZHA,2012,Whole Year ,Moong(Green Gram),33,1731.2,1845.7
180,Kerala,ALAPPUZHA,2012,Whole Year ,Papaya,1010,1732.2,1845.7
181,Kerala,ALAPPUZHA,2012,Whole Year ,Pineapple,81,1733.2,1845.7
182,Kerala,ALAPPUZHA,2012,Whole Year ,Pump Kin,30,1734.2,1845.7
183,Kerala,ALAPPUZHA,2012,Whole Year ,Sesamum,60,1735.2,1845.7
184,Kerala,ALAPPUZHA,2012,Whole Year ,Sugarcane,73,1736.2,1845.7
185,Kerala,ALAPPUZHA,2012,Whole Year ,Sweet potato,2,1737.2,1845.7
186,Kerala,ALAPPUZHA,2012,Whole Year ,Tapioca,2545,1738.2,1845.7
187,Kerala,ALAPPUZHA,2012,Whole Year ,Turmeric,33,1739.2,1845.7
188,Kerala,ALAPPUZHA,2012,Winter     ,Rice,5112,1740.2,1845.7
189,Kerala,ALAPPUZHA,2012,Winter     ,Sesamum,60,1741.2,1845.7
190,Kerala,ERNAKULAM,2002,Autumn     ,Rice,12016,1742.2,3018
191,Kerala,ERNAKULAM,2002,Kharif     ,Sesamum,161,1743.2,3018
192,Kerala,ERNAKULAM,2002,Summer     ,Rice,6608,1744.2,3018
193,Kerala,ERNAKULAM,2002,Whole Year ,Arecanut,4886,1745.2,3018
194,Kerala,ERNAKULAM,2002,Whole Year ,Banana,6410,1746.2,3018
195,Kerala,ERNAKULAM,2002,Whole Year ,Bhindi,33,1747.2,3018
196,Kerala,ERNAKULAM,2002,Whole Year ,Bitter Gourd,142,1748.2,3018
197,Kerala,ERNAKULAM,2002,Whole Year ,Black pepper,7309,1749.2,3018
198,Kerala,ERNAKULAM,2002,Whole Year ,Brinjal,21,1750.2,3018
199,Kerala,ERNAKULAM,2002,Whole Year ,Cashewnut,1364,1751.2,3018
200,Kerala,ERNAKULAM,2002,Whole Year ,Cashewnut Raw,1364,1752.2,3018
201,Kerala,ERNAKULAM,2002,Whole Year ,Coconut ,61034,1753.2,3018
202,Kerala,ERNAKULAM,2002,Whole Year ,Drum Stick,910,1754.2,3018
203,Kerala,ERNAKULAM,2002,Whole Year ,Dry ginger,421,1755.2,3018
204,Kerala,ERNAKULAM,2002,Whole Year ,Jack Fruit,4755,1756.2,3018
205,Kerala,ERNAKULAM,2002,Whole Year ,Mango,4514,1757.2,3018
206,Kerala,ERNAKULAM,2002,Whole Year ,Other Fresh Fruits,1078,1758.2,3018
207,Kerala,ERNAKULAM,2002,Whole Year ,other oilseeds,101,1759.2,3018
208,Kerala,ERNAKULAM,2002,Whole Year ,Other Vegetables,3013,1760.2,3018
209,Kerala,ERNAKULAM,2002,Whole Year ,Papaya,1497,1761.2,3018
210,Kerala,ERNAKULAM,2002,Whole Year ,Pineapple,6056,1762.2,3018
211,Kerala,ERNAKULAM,2002,Whole Year ,Rubber,56737,1763.2,3018
212,Kerala,ERNAKULAM,2002,Whole Year ,Snak Guard,95,1764.2,3018
213,Kerala,ERNAKULAM,2002,Whole Year ,Sugarcane,8,1765.2,3018
214,Kerala,ERNAKULAM,2002,Whole Year ,Sweet potato,11,1766.2,3018
215,Kerala,ERNAKULAM,2002,Whole Year ,Tapioca,5668,1767.2,3018
216,Kerala,ERNAKULAM,2002,Whole Year ,Tea,2,1768.2,3018
217,Kerala,ERNAKULAM,2002,Whole Year ,Turmeric,493,1769.2,3018
218,Kerala,ERNAKULAM,2002,Winter     ,Rice,13448,1770.2,3018
219,Kerala,ERNAKULAM,2003,Autumn     ,Rice,11291,1771.2,2593
220,Kerala,ERNAKULAM,2003,Kharif     ,Sesamum,126,3772.2,2593
221,Kerala,ERNAKULAM,2003,Summer     ,Rice,6155,3773.2,2593
222,Kerala,ERNAKULAM,2003,Whole Year ,Arecanut,5275,3774.2,2593
223,Kerala,ERNAKULAM,2003,Whole Year ,Banana,5872,3775.2,2593
224,Kerala,ERNAKULAM,2003,Whole Year ,Bhindi,38,3776.2,2593
225,Kerala,ERNAKULAM,2003,Whole Year ,Bitter Gourd,140,3777.2,2593
226,Kerala,ERNAKULAM,2003,Whole Year ,Black pepper,6973,3778.2,2593
227,Kerala,ERNAKULAM,2003,Whole Year ,Brinjal,43,3779.2,2593
228,Kerala,ERNAKULAM,2003,Whole Year ,Cashewnut,1241,3780.2,2593
229,Kerala,ERNAKULAM,2003,Whole Year ,Coconut ,57964,3781.2,2593
230,Kerala,ERNAKULAM,2003,Whole Year ,Drum Stick,865,3782.2,2593
231,Kerala,ERNAKULAM,2003,Whole Year ,Dry ginger,349,3783.2,2593
232,Kerala,ERNAKULAM,2003,Whole Year ,Jack Fruit,4650,3784.2,2593
233,Kerala,ERNAKULAM,2003,Whole Year ,Mango,4305,3785.2,2593
234,Kerala,ERNAKULAM,2003,Whole Year ,Other Fresh Fruits,912,3786.2,2593
235,Kerala,ERNAKULAM,2003,Whole Year ,Other Vegetables,2239,3787.2,2593
236,Kerala,ERNAKULAM,2003,Whole Year ,Papaya,1470,3788.2,2593
237,Kerala,ERNAKULAM,2003,Whole Year ,Pineapple,6696,3789.2,2593
238,Kerala,ERNAKULAM,2003,Whole Year ,Snak Guard,74,3790.2,2593
239,Kerala,ERNAKULAM,2003,Whole Year ,Sugarcane,1,3791.2,2593
240,Kerala,ERNAKULAM,2003,Whole Year ,Sweet potato,2,3792.2,2593
241,Kerala,ERNAKULAM,2003,Whole Year ,Tapioca,5642,3793.2,2593
242,Kerala,ERNAKULAM,2003,Whole Year ,Turmeric,484,3794.2,2593
243,Kerala,ERNAKULAM,2003,Winter     ,Rice,12049,3795.2,2593
244,Kerala,ERNAKULAM,2004,Autumn     ,Rice,10797,3796.2,3201
245,Kerala,ERNAKULAM,2004,Kharif     ,Ragi,1,3797.2,3201
246,Kerala,ERNAKULAM,2004,Kharif     ,Sesamum,130,3798.2,3201
247,Kerala,ERNAKULAM,2004,Summer     ,Rice,4862,3799.2,3201
248,Kerala,ERNAKULAM,2004,Whole Year ,Arecanut,5679,1800.2,3201
249,Kerala,ERNAKULAM,2004,Whole Year ,Banana,6107,1801.2,3201
250,Kerala,ERNAKULAM,2004,Whole Year ,Black pepper,6825,1802.2,3201
251,Kerala,ERNAKULAM,2004,Whole Year ,Cashewnut,1167,1803.2,3201
252,Kerala,ERNAKULAM,2004,Whole Year ,Coconut ,58735,1804.2,3201
253,Kerala,ERNAKULAM,2004,Whole Year ,Dry ginger,295,1805.2,3201
254,Kerala,ERNAKULAM,2004,Whole Year ,Sugarcane,1,1806.2,3201
255,Kerala,ERNAKULAM,2004,Whole Year ,Sweet potato,5,1807.2,3201
256,Kerala,ERNAKULAM,2004,Whole Year ,Tapioca,4415,1808.2,3201
257,Kerala,ERNAKULAM,2004,Whole Year ,Turmeric,484,1809.2,3201
258,Kerala,ERNAKULAM,2004,Winter     ,Rice,12486,1810.2,3201
259,Kerala,ERNAKULAM,2005,Autumn     ,Rice,9976,2811.2,3407
260,Kerala,ERNAKULAM,2005,Kharif     ,Sesamum,54,2812.2,3407
261,Kerala,ERNAKULAM,2005,Summer     ,Rice,2812,2813.2,3407
262,Kerala,ERNAKULAM,2005,Whole Year ,Arecanut,5644,2814.2,3407
263,Kerala,ERNAKULAM,2005,Whole Year ,Banana,6308,2815.2,3407
264,Kerala,ERNAKULAM,2005,Whole Year ,Black pepper,6700,2816.2,3407
265,Kerala,ERNAKULAM,2005,Whole Year ,Cashewnut,1130,2817.2,3407
266,Kerala,ERNAKULAM,2005,Whole Year ,Coconut ,58553,2818.2,3407
267,Kerala,ERNAKULAM,2005,Whole Year ,Dry ginger,372,2819.2,3407
268,Kerala,ERNAKULAM,2005,Whole Year ,Sugarcane,6,2820.2,3407
269,Kerala,ERNAKULAM,2005,Whole Year ,Tapioca,5636,2821.2,3407
270,Kerala,ERNAKULAM,2005,Whole Year ,Turmeric,568,2822.2,3407
271,Kerala,ERNAKULAM,2005,Winter     ,Rice,12146,2823.2,3407
272,Kerala,ERNAKULAM,2006,Autumn     ,Rice,5740,1824.2,3865
273,Kerala,ERNAKULAM,2006,Kharif     ,Ragi,4,1825.2,3865
274,Kerala,ERNAKULAM,2006,Kharif     ,Sesamum,68,1826.2,3865
275,Kerala,ERNAKULAM,2006,Summer     ,Rice,2455,1827.2,3865
276,Kerala,ERNAKULAM,2006,Whole Year ,Arecanut,4908,1828.2,3865
277,Kerala,ERNAKULAM,2006,Whole Year ,Banana,6855,1829.2,3865
278,Kerala,ERNAKULAM,2006,Whole Year ,Black pepper,6637,1830.2,3865
279,Kerala,ERNAKULAM,2006,Whole Year ,Cashewnut,948,1831.2,3865
280,Kerala,ERNAKULAM,2006,Whole Year ,Coconut ,54710,1832.2,3865
281,Kerala,ERNAKULAM,2006,Whole Year ,Dry ginger,396,1833.2,3865
282,Kerala,ERNAKULAM,2006,Whole Year ,Sweet potato,10,1834.2,3865
283,Kerala,ERNAKULAM,2006,Whole Year ,Tapioca,6117,1835.2,3865
284,Kerala,ERNAKULAM,2006,Whole Year ,Turmeric,629,1836.2,3865
285,Kerala,ERNAKULAM,2006,Winter     ,Rice,13700,1837.2,3865
286,Kerala,ERNAKULAM,2007,Autumn     ,Rice,4382,4838.2,4046.7
287,Kerala,ERNAKULAM,2007,Kharif     ,Sesamum,48,4839.2,4046.7
288,Kerala,ERNAKULAM,2007,Summer     ,Rice,2236,4840.2,2046.7
289,Kerala,ERNAKULAM,2007,Whole Year ,Arecanut,5207,4841.2,2046.7
290,Kerala,ERNAKULAM,2007,Whole Year ,Banana,6115,4842.2,2046.7
291,Kerala,ERNAKULAM,2007,Whole Year ,Black pepper,6106,4843.2,2046.7
292,Kerala,ERNAKULAM,2007,Whole Year ,Cashewnut,783,4844.2,2046.7
293,Kerala,ERNAKULAM,2007,Whole Year ,Coconut ,49412,4845.2,2046.7
294,Kerala,ERNAKULAM,2007,Whole Year ,Dry ginger,337,4846.2,2046.7
295,Kerala,ERNAKULAM,2007,Whole Year ,Sugarcane,8,4847.2,2046.7
296,Kerala,ERNAKULAM,2007,Whole Year ,Sweet potato,4,4848.2,2046.7
297,Kerala,ERNAKULAM,2007,Whole Year ,Tapioca,5148,4849.2,2046.7
298,Kerala,ERNAKULAM,2007,Whole Year ,Turmeric,368,4850.2,2046.7
299,Kerala,ERNAKULAM,2007,Winter     ,Rice,5725,4851.2,2046.7
300,Kerala,ERNAKULAM,2008,Autumn     ,Rice,5097,1852.2,2864.2
301,Kerala,ERNAKULAM,2008,Kharif     ,Sesamum,26,1853.2,2864.2
302,Kerala,ERNAKULAM,2008,Summer     ,Rice,1962,1854.2,2864.2
303,Kerala,ERNAKULAM,2008,Whole Year ,Arecanut,4783,1855.2,2864.2
304,Kerala,ERNAKULAM,2008,Whole Year ,Banana,6385,1856.2,2864.2
305,Kerala,ERNAKULAM,2008,Whole Year ,Black pepper,5317,1857.2,2864.2
306,Kerala,ERNAKULAM,2008,Whole Year ,Cashewnut,596,1858.2,2864.2
307,Kerala,ERNAKULAM,2008,Whole Year ,Coconut ,46240,1859.2,2864.2
308,Kerala,ERNAKULAM,2008,Whole Year ,Dry ginger,260,1860.2,2864.2
309,Kerala,ERNAKULAM,2008,Whole Year ,Sugarcane,2,1861.2,2864.2
310,Kerala,ERNAKULAM,2008,Whole Year ,Sweet potato,4,1862.2,2864.2
311,Kerala,ERNAKULAM,2008,Whole Year ,Tapioca,5680,1863.2,2864.2
312,Kerala,ERNAKULAM,2008,Whole Year ,Turmeric,326,1864.2,2864.2
313,Kerala,ERNAKULAM,2008,Winter     ,Rice,5907,1865.2,2864.2
314,Kerala,ERNAKULAM,2009,Autumn     ,Rice,4090,1866.2,3221.5
315,Kerala,ERNAKULAM,2009,Kharif     ,Sesamum,15,2867.2,3221.5
316,Kerala,ERNAKULAM,2009,Summer     ,Rice,1576,2868.2,3221.5
317,Kerala,ERNAKULAM,2009,Whole Year ,Arecanut,4674,2869.2,3221.5
318,Kerala,ERNAKULAM,2009,Whole Year ,Banana,6500,2870.2,3221.5
319,Kerala,ERNAKULAM,2009,Whole Year ,Black pepper,5273,2871.2,3221.5
320,Kerala,ERNAKULAM,2009,Whole Year ,Cashewnut,581,2872.2,3221.5
